시간대,평일(고속),토요일(고속),일요일(고속),평일(시외),토요일(시외),일요일(시외)
00:00~00:59,235,494,400,89,146,153
01:00~01:59,180,189,227,30,50,50
02:00~02:59,34,80,55,24,21,30
03:00~03:59,4,0,0,8,9,9
04:00~04:59,88,91,43,94,92,75
05:00~05:59,510,555,237,465,391,317
06:00~06:59,3806,5145,2398,4719,4392,2854
07:00~07:59,4859,7973,3539,10613,11599,6835
08:00~08:59,5165,10773,5136,10016,14423,8641
09:00~09:59,4910,11765,6417,10569,17297,11941
10:00~10:59,5168,11947,6943,10598,18204,13265
11:00~11:59,4695,10220,6786,9780,16044,11817
12:00~12:59,4429,8603,6382,10288,14610,12962
13:00~13:59,5239,9268,9239,10416,15061,14975
14:00~14:59,5262,9384,11309,10597,15351,18219
15:00~15:59,5670,9009,12804,11354,14916,20014
16:00~16:59,6113,8601,13163,12458,15130,21864
17:00~17:59,6113,7864,12906,12009,13657,20768
18:00~18:59,6650,8070,13276,11615,12934,21084
19:00~19:59,5558,7470,12967,8939,11263,19208
20:00~20:59,3930,6952,10421,6506,9427,14653
21:00~21:59,2653,6019,6864,9298,12034,12110
22:00~22:59,2222,4779,4957,3636,4994,4588
23:00~23:59,1095,2756,2333,1008,1203,1053
